order_id,product,category,quantity,unit_price,sale_date,region,customer_type,total_sale
ORD_1000,Auriculares,Accesorios,4,635.12,2025-08-05,Oeste,Individual,2540.49
ORD_1001,Laptop,Electrónicos,4,941.0,2025-10-02,Sur,Individual,3763.99
ORD_1002,Auriculares,Accesorios,5,1491.09,2025-08-16,Norte,Individual,7455.43
ORD_1003,Impresora,Accesorios,3,1401.71,2025-09-23,Sur,Gobierno,4205.14
ORD_1004,Mouse,Accesorios,2,1355.26,2025-10-15,Sur,Gobierno,2710.51
ORD_1005,Impresora,Accesorios,4,469.45,2025-08-13,Norte,Empresa,1877.79
ORD_1006,Tablet,Electrónicos,3,879.66,2025-07-26,Oeste,Gobierno,2638.98
ORD_1007,Smartphone,Electrónicos,4,570.3,2025-10-14,Sur,Empresa,2281.21
ORD_1008,Monitor,Accesorios,1,694.73,2025-10-20,Sur,Individual,694.73
ORD_1009,Smartphone,Electrónicos,4,91.24,2025-08-27,Este,Individual,364.97
ORD_1010,Auriculares,Accesorios,4,1310.15,2025-07-29,Norte,Individual,5240.6
ORD_1011,Smartphone,Electrónicos,1,817.01,2025-08-14,Este,Gobierno,817.01
ORD_1012,Laptop,Electrónicos,2,370.12,2025-10-18,Oeste,Gobierno,740.24
ORD_1013,Laptop,Electrónicos,2,776.62,2025-08-08,Sur,Empresa,1553.23
ORD_1014,Laptop,Electrónicos,2,93.16,2025-09-17,Sur,Individual,186.32
ORD_1015,Monitor,Accesorios,1,504.33,2025-08-13,Oeste,Individual,504.33
ORD_1016,Auriculares,Accesorios,3,1145.21,2025-09-25,Oeste,Gobierno,3435.63
ORD_1017,Impresora,Accesorios,3,1399.83,2025-08-03,Este,Individual,4199.48
ORD_1018,Teclado,Accesorios,3,168.04,2025-08-02,Norte,Individual,504.11
ORD_1019,Tablet,Electrónicos,2,714.84,2025-09-11,Oeste,Individual,1429.68
ORD_1020,Impresora,Accesorios,2,429.77,2025-10-06,Oeste,Gobierno,859.54
ORD_1021,Teclado,Accesorios,3,719.36,2025-10-01,Oeste,Individual,2158.08
ORD_1022,Monitor,Accesorios,3,858.54,2025-10-14,Oeste,Empresa,2575.61
ORD_1023,Laptop,Electrónicos,3,1299.64,2025-10-08,Norte,Empresa,3898.92
ORD_1024,Mouse,Accesorios,5,792.2,2025-08-30,Este,Individual,3961.02
