order_id,product,category,quantity,unit_price,sale_date,region,customer_type,total_sale
ORD_1000,Mouse,Accesorios,3,320.85,2025-08-21,Sur,Gobierno,962.55
ORD_1001,Laptop,Electrónicos,3,1329.7,2025-09-03,Sur,Empresa,3989.1
ORD_1002,Mouse,Accesorios,3,752.01,2025-10-04,Este,Individual,2256.02
ORD_1003,Auriculares,Accesorios,2,1134.82,2025-09-19,Norte,Empresa,2269.64
ORD_1004,Smartphone,Electrónicos,2,525.25,2025-09-23,Este,Gobierno,1050.5
ORD_1005,Monitor,Accesorios,2,1416.91,2025-09-21,Sur,Empresa,2833.81
ORD_1006,Smartphone,Electrónicos,5,616.05,2025-09-14,Este,Empresa,3080.25
ORD_1007,Mouse,Accesorios,3,1458.28,2025-09-30,Oeste,Gobierno,4374.84
ORD_1008,Auriculares,Accesorios,3,194.86,2025-08-08,Este,Gobierno,584.57
ORD_1009,Impresora,Accesorios,3,243.77,2025-07-31,Norte,Individual,731.31
ORD_1010,Teclado,Accesorios,4,726.22,2025-08-09,Este,Gobierno,2904.88
ORD_1011,Teclado,Accesorios,4,351.02,2025-08-21,Oeste,Gobierno,1404.07
ORD_1012,Auriculares,Accesorios,4,184.72,2025-10-16,Sur,Empresa,738.87
ORD_1013,Tablet,Electrónicos,2,1137.91,2025-10-08,Sur,Individual,2275.83
ORD_1014,Monitor,Accesorios,4,728.57,2025-07-24,Este,Empresa,2914.29
ORD_1015,Impresora,Accesorios,4,513.26,2025-10-18,Norte,Empresa,2053.04
ORD_1016,Mouse,Accesorios,5,82.48,2025-08-14,Sur,Empresa,412.42
ORD_1017,Auriculares,Accesorios,1,506.85,2025-08-20,Este,Empresa,506.85
ORD_1018,Mouse,Accesorios,3,318.19,2025-08-15,Este,Gobierno,954.57
ORD_1019,Mouse,Accesorios,4,879.55,2025-10-06,Norte,Empresa,3518.21
ORD_1020,Tablet,Electrónicos,3,480.78,2025-09-17,Oeste,Gobierno,1442.33
ORD_1021,Tablet,Electrónicos,4,161.39,2025-10-13,Sur,Gobierno,645.55
ORD_1022,Tablet,Electrónicos,1,1178.46,2025-09-03,Este,Individual,1178.46
ORD_1023,Teclado,Accesorios,1,496.15,2025-08-15,Norte,Gobierno,496.15
ORD_1024,Tablet,Electrónicos,1,1380.7,2025-09-08,Este,Gobierno,1380.7
ORD_1025,Mouse,Accesorios,1,179.58,2025-08-24,Norte,Individual,179.58
ORD_1026,Laptop,Electrónicos,4,202.19,2025-10-08,Este,Individual,808.78
ORD_1027,Monitor,Accesorios,1,740.91,2025-09-02,Oeste,Empresa,740.91
ORD_1028,Impresora,Accesorios,5,1499.85,2025-09-09,Este,Empresa,7499.27
ORD_1029,Laptop,Electrónicos,5,1375.56,2025-09-15,Sur,Gobierno,6877.8
ORD_1030,Tablet,Electrónicos,3,302.95,2025-10-10,Norte,Gobierno,908.85
ORD_1031,Teclado,Accesorios,2,1343.05,2025-07-31,Este,Gobierno,2686.09
ORD_1032,Auriculares,Accesorios,4,804.57,2025-10-13,Oeste,Empresa,3218.28
ORD_1033,Teclado,Accesorios,5,227.79,2025-09-02,Sur,Individual,1138.97
ORD_1034,Laptop,Electrónicos,5,807.41,2025-07-25,Oeste,Individual,4037.05
ORD_1035,Auriculares,Accesorios,5,160.66,2025-08-15,Norte,Empresa,803.32
ORD_1036,Tablet,Electrónicos,5,1237.02,2025-10-13,Oeste,Empresa,6185.08
ORD_1037,Teclado,Accesorios,4,1205.7,2025-08-04,Este,Empresa,4822.81
ORD_1038,Tablet,Electrónicos,4,1040.91,2025-08-27,Norte,Gobierno,4163.64
ORD_1039,Teclado,Accesorios,3,406.95,2025-08-24,Oeste,Empresa,1220.86
ORD_1040,Auriculares,Accesorios,3,596.28,2025-08-04,Sur,Empresa,1788.85
ORD_1041,Auriculares,Accesorios,3,1372.78,2025-09-15,Este,Gobierno,4118.33
ORD_1042,Monitor,Accesorios,1,910.21,2025-09-10,Sur,Gobierno,910.21
ORD_1043,Auriculares,Accesorios,4,404.07,2025-09-28,Norte,Gobierno,1616.27
ORD_1044,Tablet,Electrónicos,4,727.18,2025-10-02,Oeste,Gobierno,2908.71
ORD_1045,Teclado,Accesorios,3,772.8,2025-08-14,Oeste,Empresa,2318.39
ORD_1046,Teclado,Accesorios,5,944.14,2025-08-01,Sur,Empresa,4720.71
ORD_1047,Auriculares,Accesorios,1,1239.38,2025-10-15,Este,Individual,1239.38
ORD_1048,Mouse,Accesorios,1,346.03,2025-10-21,Sur,Individual,346.03
ORD_1049,Monitor,Accesorios,5,1349.37,2025-07-29,Norte,Empresa,6746.83
ORD_1050,Auriculares,Accesorios,5,1263.1,2025-08-06,Sur,Individual,6315.49
ORD_1051,Tablet,Electrónicos,2,240.17,2025-08-16,Oeste,Empresa,480.34
ORD_1052,Tablet,Electrónicos,4,545.02,2025-09-20,Oeste,Gobierno,2180.08
ORD_1053,Teclado,Accesorios,2,1479.21,2025-09-09,Este,Individual,2958.42
ORD_1054,Auriculares,Accesorios,3,1437.49,2025-08-25,Norte,Empresa,4312.47
ORD_1055,Tablet,Electrónicos,5,444.42,2025-09-23,Norte,Individual,2222.08
ORD_1056,Laptop,Electrónicos,4,1174.3,2025-09-24,Sur,Gobierno,4697.21
ORD_1057,Teclado,Accesorios,4,1360.8,2025-10-07,Sur,Empresa,5443.2
ORD_1058,Tablet,Electrónicos,2,943.07,2025-08-16,Norte,Empresa,1886.14
ORD_1059,Mouse,Accesorios,1,104.09,2025-08-07,Sur,Individual,104.09
ORD_1060,Impresora,Accesorios,1,89.47,2025-08-05,Norte,Individual,89.47
ORD_1061,Laptop,Electrónicos,2,183.62,2025-08-26,Oeste,Gobierno,367.23
ORD_1062,Tablet,Electrónicos,4,526.53,2025-07-26,Oeste,Gobierno,2106.12
ORD_1063,Smartphone,Electrónicos,5,567.69,2025-08-01,Este,Individual,2838.46
ORD_1064,Tablet,Electrónicos,2,777.47,2025-09-24,Norte,Individual,1554.94
ORD_1065,Mouse,Accesorios,4,1066.45,2025-10-05,Oeste,Empresa,4265.82
ORD_1066,Tablet,Electrónicos,5,252.21,2025-08-28,Oeste,Gobierno,1261.03
ORD_1067,Teclado,Accesorios,3,359.97,2025-08-21,Norte,Individual,1079.92
ORD_1068,Monitor,Accesorios,1,961.87,2025-10-05,Norte,Individual,961.87
ORD_1069,Teclado,Accesorios,3,1487.29,2025-10-13,Oeste,Empresa,4461.86
ORD_1070,Monitor,Accesorios,2,1224.3,2025-10-04,Oeste,Empresa,2448.59
ORD_1071,Smartphone,Electrónicos,2,283.72,2025-09-18,Sur,Gobierno,567.44
ORD_1072,Smartphone,Electrónicos,1,1143.29,2025-08-01,Este,Empresa,1143.29
ORD_1073,Mouse,Accesorios,5,1001.04,2025-10-03,Sur,Individual,5005.18
ORD_1074,Impresora,Accesorios,2,69.62,2025-10-20,Norte,Gobierno,139.23
ORD_1075,Tablet,Electrónicos,4,916.18,2025-10-04,Este,Gobierno,3664.72
ORD_1076,Auriculares,Accesorios,4,157.82,2025-10-11,Este,Empresa,631.27
ORD_1077,Monitor,Accesorios,5,1007.64,2025-08-22,Sur,Individual,5038.18
ORD_1078,Mouse,Accesorios,3,364.72,2025-09-13,Este,Gobierno,1094.17
ORD_1079,Impresora,Accesorios,2,716.54,2025-08-06,Norte,Individual,1433.07
ORD_1080,Impresora,Accesorios,4,336.46,2025-09-01,Oeste,Empresa,1345.84
